Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
"""heaped therefore residually heaped""",13,13,,
"""monitoring a stink Bug's progress""",15,16,,
"""i like science fiction because""",17,17,,
"""Du BOis teaches radicalization is possible.""",19,20,,
"""these five tones Rae Sremmurd emit a melodic noise""",21,22,,
"""what is the relation between pleading and womanhood?""",23,23,,
"""got me areal mistress and she independent""",25,27,,
"""note the absence of wind from where iam""",31,31,,
"""ov woke up coughing""",33,34,,
"""the declarative sentence of the last generation of woman poets""",35,37,,
At Your Best You Are Love,39,41,,
i,43,44,,
"""the beautiful woman who is also the monstrous laboring beast""",47,48,,
if,49,49,,
Shit,51,53,,
Aye,55,58,,
Go to Jail,59,60,,
"""no man has ever not tried to steal from me""",63,65,,
Va for -ED and wc,67,68,,
"""[f i think in units of $1k""",69,70,,
"""lf Pope.L walks into a room.""",71,73,,
"""[f I don't like techno at all""",75,75,,
"""Two particles that make a continuum or ideal""",77,79,,
