Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
gayl jones,16,16,2,
billie holiday/roland barthes,17,18,3,
wanda jean allen/kendall thomas,19,19,5,
jeanne moreau/miles davis,20,20,6,
charlie jenkins,21,21,7,
james brown,22,22,8,
henry dumas,23,23,9,
fishbone/joseph jarman,24,24,10,
"elvin jones,11,, malachi favors, stevelacy"
"alexander weheliye,12,, lygia clark, edroberson"
"sherrie tucker,13,, francis ponge, sunra"
gary fisher,28,30,14,
yopie prins,31,31,17,
robert farris thompson,32,32,18,
brent edwards,33,33,19,
bessie smith,34,34,20,
jean-michel basquiat,35,35,21,
alice key,36,37,22,
james baldwin,38,39,24,
william parker/fred mcdowell,40,41,26,
cecil taylor/almeida ragland,42,43,28,
tony oxley/frederick douglass,44,45,30,
walter benjamin/julian boyd,46,46,32,
peck curtis,47,47,33,
john thompson,48,50,34,
george gervin/michael fried,51,51,37,
adrian piper,52,52,38,
josé munoz,53,53,39,
michael hanchard/woody guthrie,54,55,40,
thelma foote/lindon barrett,56,57,42,
elizabeth cotten/nahum chandler,58,60,44,
ann cvetkovich/kathleen stewart,61,61,47,
frank ramsay/nancy wilson,62,62,48,
arthur jafa and greg tate,63,63,49,
joetorra,64,66,50,
piet mondrian,67,67,53,
nathaniel mackey,68,68,54,
marie jenkins,69,69,55,
q.b. bush,70,71,56,
sleater-kinney,72,72,58,
eric dolphy,73,73,59,
general baker,74,74,60,
johnny cash/rosetta tharp,75,76,61,
pam grier,77,77,63,
bobby bland,78,78,64,
la nina de los peines,79,79,65,
laura harris,80,82,66,
betty carter,83,83,69,
william corbett,84,85,70,
june jordan,86,86,72,
murray jackson,87,87,73,
curtis mayfield,88,90,74,
carrie tirado bremen,91,91,77,
margaret walker/audre lorde,92,92,78,
audre lorde/kara keeling,93,93,79,
chrisshonna grant/victor feldman,94,94,80,
toni morrison/renee gladman,95,95,81,
njeeri wa thiong'o,96,96,82,
john work,97,97,83,
barbara lee,98,101,84,
mike davis and glynda white,102,102,88,
charlie parker,103,103,89,
birdia mott,104,104,90,
julian djibril,105,105,91,
lorenzo bird,106,107,92,
fred hopkins,108,108,94,
b jenkins,109,109,95,
