Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Mammy's Baby Scared,17,17,3,3
Taint No Need o' Women Worrin',18,19,4,5
I Ain't Turn Sussie Out,20,21,6,7
De Signs o' Spring,22,22,8,8
The Old Mill,23,23,9,9
It's All Through Life,24,24,10,10
"Eligia,11,25, the Bad Boy",11
Scolding Baby Boy,26,26,12,12
The Escort,27,27,13,13
The Night I Went to Church,28,29,14,15
Sleep On Ye Happy Sons,30,30,16,16
The Day of Freedom,31,31,17,17
My Little Cabin Home,32,32,18,18
The Lover's Spat,33,34,19,20
Snow Hill,35,35,21,21
The Invitation,36,36,22,22
A Word to Ethiopia,37,37,23,23
Booker T. Washington,38,38,24,24
Paul Lawrence Dunbar,39,39,25,25
I Am Ma' an' Papa' Baby,40,40,26,26
The Flower,41,41,27,27
When the Different Churches Meet,42,42,28,28
I Use ter Dres',43,43,29,29
Where Hearts Are Gay,44,44,30,30
Home Instruction,45,45,31,31
The New Year's Resolve,46,46,32,32
Labor On,47,47,33,33
Forget Me Not,48,48,34,34
Annoyance,49,49,35,35
Der Fiddle Is My Comfort,50,50,36,36
The Favorite Diet,51,51,37,37
Good After Ill,52,52,38,38
The Prayer of the Faithful,53,53,39,39
A Daily Prayer,54,54,40,40
"Keep Me,41,41, Jesus, Keep Me"
Run on Home,56,56,42,42
Sing on to Jesus,57,57,43,43
Seek the Lost,58,58,44,44
"""You'll Reap What You Sow""",59,59,45,45
Move On,60,60,46,46
The Departure,61,62,47,48
Twas Mother,63,63,49,49
The Mother's Farewell to Her Son,64,64,50,50
Take Me Home,65,65,51,51
The Day of Repentance,66,66,52,52
What Have I Done,67,67,53,53
When the Way Seems Dark,68,68,54,54
In the Hour of Death,69,69,55,55
Eventide,70,70,56,56
Winter Is Coming,71,71,57,57
The Combat,72,72,58,58
"Red,59,59, White, and Blue"
Sing Out for Peace,74,74,60,60
