Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
THE CALL TO DUTY,11,13,1,3
LIFE,14,17,4,7
"GOD,10,18, MAN AND NATURE",8
SWEET IS THE COUNSEL OF THE WISE,21,22,11,12
THE UNBELIEVER,23,24,13,14
WHAT HAVE I TO SORROW O'ER,25,25,15,15
THE THREATENING DAY IN SLUMBER DIES,26,26,16,16
KING WINTER,27,28,17,18
CHRISTMAS CAROL,29,30,19,20
DREAMLAND,31,32,21,22
THE POET'S SOLILOQUY,33,35,23,25
ODE TO SPRING,36,38,26,28
LOVE'S MESSAGE TO NATURE,39,40,29,30
TO THE CHILDREN,41,42,31,32
TO OUR DEAD HEROES,43,45,33,35
EDWARD EVERETT HALE,46,47,36,37
THE CONQUEST OF THE NORTH POLE,48,49,38,39
ODE TO PRESIDENT ROOSEVELT,50,52,40,42
THE JOLLY SONGSTERS,53,54,43,44
TO WOMAN,55,55,45,45
A SONG OF SUFFRAGE,56,57,46,47
FOR DEARIE WAS WITH ME,58,59,48,49
"DEAREST,52,60, WHERE ART THOU TO-NIGHT?",50
WITH DEARIE AT MY SIDE,63,64,53,54
A PRAYER,65,65,55,55
EVENING HYMN,66,67,56,57
