Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
The Vale of Solitude,25,27,19,21
My Mother's Picture,28,28,22,22
Love,29,29,23,23
The Beauties of Woman,30,31,24,25
The Siren,32,33,26,27
The Manly Man,34,34,28,28
The Libertine,35,36,29,30
The Flower at My Window,37,38,31,32
The Household Queen,39,40,33,34
The Man With the Gun,41,42,35,36
To the Sighing Winds,43,45,37,39
One of Earth's Few,46,46,40,40
Only a Little Curl,47,47,41,41
Rocked on the Waters of the Deep,48,50,42,44
To the Ocean Pacific,51,52,45,46
Paul Lawrence Dunbar,53,53,47,47
Little Golden Pen,54,54,48,48
To One of the Brave,55,55,49,49
The New Leaf,56,56,50,50
"""Ever Faithful to You""",57,58,51,52
The Sunlight of Temperance,59,59,53,53
The Drink-Slave,60,61,54,55
"""Looking for Work""",62,63,56,57
The Debtor,64,64,58,58
A Dedication (Booker T. Washington),65,66,59,60
The Hand That Guides the Plow,67,68,61,62
Toussaint L'Ouverture,69,70,63,64
San Francisco's 18th of April (1906),71,72,65,66
An Ode to the Christian Martyrs,73,73,67,67
A Memorial (Frederick Douglass),74,74,68,68
Life's Day,75,77,69,71
Pantheon,78,78,72,72
A Major Chord,79,80,73,74
A Minor Chord,81,82,75,76
Time's Chord,83,83,77,77
Sharps and Flats,84,84,78,78
A Dirge to Ancient Rome,85,86,79,80
The Dove,87,89,81,83
Voices of the Waves,90,90,84,84
The Miser,91,91,85,85
The Spendthrift,92,93,86,87
Anita,94,99,88,93
An Elegy to John Brown,100,100,94,94
The Treasured Curl,101,102,95,96
Uncle Ike's Opinion of Winterpock's College,103,105,97,99
The Faded Leaves,106,106,100,100
Christmas Morn,107,107,101,101
"""I Love You,103,108, Too""",102
Have I Done Wrong?,110,111,104,105
A Divided Love,112,113,106,107
My Father's Letter,114,115,108,109
Thanksgiving,116,116,110,110
The Frozen Rain,117,117,111,111
A Winter's Sunrise,118,118,112,112
The Death of a Soldier-Comrade,119,124,113,118
Scaevola,125,126,119,120
Imagination (Essay and Poem),127,129,121,123
Retrospection,130,131,124,125
Teach Me,132,132,126,126
"""Rest in Jesus""",133,133,127,127
THE!!!,134,134,128,128
