Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Avenging the Maine,17,22,11,16
The Memory of Maceo,23,23,17,17
Siege of Manilla,24,27,18,21
Siege of Santiago,28,29,22,23
The Stars and Stripes Shall Never Trail the Dust,30,34,24,28
Slavery,35,36,29,30
Wave on Thou Flag,37,37,31,31
Seeking Her Boy,38,39,32,33
Memory of Lincoln and the Yankees,40,41,34,35
The Death of Hector,42,44,36,38
A Drunken A. B.,45,53,39,47
Envy,54,54,48,48
A Lecture,55,55,49,49
The Girl and the Birds,56,56,50,50
Summer is Gone,57,57,51,51
The End of Day,58,58,52,52
The Evening,61,61,55,55
Africa's Cry,62,62,56,56
The Stars,63,64,57,58
Nothing to Do,65,65,59,59
The Signs of Death,66,69,60,63
Satan,70,70,64,64
Life's Road,71,71,65,65
Classes,72,72,66,66
Fortune's Wheel,73,73,67,67
Show Your Love,74,74,68,68
Memory of the Old Times,75,76,69,70
"Don't Laugh,71,77, Boys",71
My Song,78,78,72,72
Our Picnic,79,79,73,73
Edith,80,80,74,74
Ode to Love,81,81,75,75
Herod's Slaughter of the Babes,82,84,76,78
Ambition,85,85,79,79
A View of Childhood,86,87,80,81
"Reason,83,88, Sad World",82
The Wealthy Nigah,90,94,84,88
The Boy's Opportunity,95,95,89,89
"""No Use in Signs""",96,97,90,91
The Memory of Frances Willard,98,99,92,93
I'll Enter the Saloon No More,100,101,94,95
Unker Israel,102,104,96,98
Ode to Conscience,105,105,99,99
Two Spirits,106,106,100,100
The Parting Soldiers,107,107,101,101
My Lonely Homestead,108,109,102,103
An Appeal,110,112,104,106
Why Sneer at th' Errors Our Fathers Made,113,113,107,107
Virtue Alone Can Make Men Great,114,114,108,108
To Her That Weeps,115,115,109,109
Heathen Land,116,116,110,110
Blame Not The Poet,117,117,111,111
To the Memory of W. W. Browne,118,121,112,115
De 'Scursion Dat Yer Rode,122,122,116,116
Why Should I Deplore,123,123,117,117
God Bless the Sailors,124,124,118,118
Gib ter Me a Lock ob yer Hair,125,125,119,119
