Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Threshold,9,10,3,4
Telemachus,11,12,7,8
Trojan,13,13,9,9
Aubade with Burning City,14,16,10,12
A Little Closer to the Edge,17,17,13,13
Immigrant Haibun,18,20,14,16
Always & Forever,21,22,17,18
My Father Writes from Prison,23,23,19,19
Headfirst,24,25,20,21
In Newport I Watch My Father Lay His Cheek to a Beached Dolphin's Wet Back,26,27,22,23
The Gift,28,29,24,25
Self-Portrait as Exit Wounds,30,32,26,28
Thanksgiving 2006,33,33,29,29
Homewrecker,34,34,30,30
Of Thee I Sing,35,36,31,32
Because It's Summer,37,38,33,34
Into the Breach,39,41,35,37
Anaphora as Coping Mechanism,42,42,38,38
Seventh Circle of Earth,43,44,39,40
On Earth We're Briefly Gorgeous,45,48,41,44
Eurydice,49,50,45,46
"Untitled [Blue,47,47, Green, and Brown): oil on canvas: Mark Rothko: 1952"
Queen Under The Hill,52,53,48,49
Torso of Air,54,54,50,50
Prayer for the Newly Damned,55,55,51,51
To My Father / To My Future Son,56,58,52,54
Deto(nation),59,59,55,55
Ode to Masturbation,60,66,56,62
Notebook Fragments,67,71,63,67
The Smallest Measure,72,73,68,69
Daily Bread,74,76,70,72
Odysseus Redux,77,78,73,74
Logophobia,79,80,75,76
Someday I’ll Love Ocean Vuong,81,82,77,78
Devotion,83,84,79,80
