Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Balance,13,13,1,1
Potter's Fields,14,14,2,2
Lisboa 1755,15,15,3,3
Not That Our Empire Declines,16,16,4,4
About Dirt,17,17,5,5
The Strike,18,18,6,6
"Telegonus,7,7, Latinus, Agrius"
The Graceful Country,20,20,8,8
Instructions Received by New Colony,21,23,9,11
The Wish Answered,27,27,15,15
Five Dollars,28,28,16,16
School of Dentistry,29,30,17,18
School of Taxidermy,31,31,19,19
Hiking to Sugarloaf,32,32,20,20
Misreading Solomon,33,33,21,21
School of Architecture,34,34,22,22
Saignée,35,35,23,23
Sulfur,36,36,24,24
"Early Winter,25,37, After Sappho",25
How to Care?,41,41,29,29
On Power Outages,42,42,30,30
Passage Interdit aux Non Musulmans,43,43,31,31
Story of Man's Desire,44,44,32,32
And About Time,45,51,33,39
School of Rhetoric,52,52,40,40
A Season of Coal,53,53,41,41
The Burning of San Francisco,54,54,42,42
The Masterly Play of Form,55,55,43,43
Convalescence,56,56,44,44
Mining Expedition,57,58,45,46
Salt,59,60,47,48
There Were No Horses,61,61,49,49
The River,65,73,53,61
