Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
What about my Songs,47,47,3,3
Where is the Poet,48,48,4,4
The Desert of 'No More',49,49,5,5
Seas of Loneliness,50,51,6,7
The Garden of Truth,52,52,8,8
Like a Paper Lantern,53,53,9,9
I Hail myself as I do Homer,57,59,13,15
The Night Reverie in the Forest,60,63,16,19
Song of Day in Yosemite Valley,64,67,20,23
Song of Night in Yosemite Valley,68,69,24,25
Apparition,73,74,29,30
O Cho San,75,77,31,33
Address to a Soyokaze,78,80,34,36
Under the Moon,81,84,37,40
O Hana San,85,88,41,44
The Myoto,89,90,45,46
The Goddess: God,91,91,47,47
By the Sea,92,94,48,50
Homekotoba,95,103,51,59
Upon the Heights,104,105,60,61
The Poet,106,106,62,62
The Face in the Mirror,107,110,63,66
How near to Fairyland,111,111,67,67
Lines,112,112,68,68
Spring,113,114,69,70
Prose Poems,117,124,73,80
"""The New Art""",127,127,83,83
By the Engakuji Temple: Moon Night,128,129,84,85
To a Nightingale,130,131,86,87
I am Like a Leaf,132,132,88,88
To the Sunflower,133,133,89,89
Shadow,134,134,90,90
The Fantastic Snow-flakes,135,136,91,92
Ghost of Abyss,137,137,93,93
Autumn Song,138,138,94,94
Fantasia,139,140,95,96
The Temple Bell,141,141,97,97
To the Cicada,142,142,98,98
The Lady of Utamaro's Art,143,143,99,99
The Buddha Priest in Meditation,144,145,100,101
In the Inland Sea,146,147,102,103
Kyoto,148,148,104,104
My Little Bird,149,150,105,106
Her Weapons are a Smile and a Little Fan,151,151,107,107
My Heart,152,152,108,108
The Lotus Worshippers,153,154,109,110
Lines,155,155,111,111
The Eastern Sea,156,157,112,113
To a Sparrow,158,158,114,114
Right and Left,159,159,115,115
In Japan Beyond,160,161,116,117
Cradle Songs,162,163,118,119
Japanese Hokkus,167,170,123,126
