Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Rain and Red Roses,17,18,15,
Love Letters,19,20,17,
Symmetry,21,22,19,
Suspicious,23,24,21,
Two Queens,25,27,23,
Old Biddies,28,28,26,
Champing at the Bit,29,30,27,
Recognition,31,32,29,
What to Be,33,33,31,
Shower,34,35,32,
Knowing,36,36,34,
The Scolding,37,39,35,
Elegant,40,40,38,
Morning,41,41,39,
Missing Person All Points Bulletin,42,42,40,
Feeling Smug,43,44,41,
Caring for Mother,45,47,43,
After the Jupiter Symphony Conducted by Pinchas Zukerman,48,48,46,
Last Concert,49,50,47,
Bearer of Water,51,52,49,
Bedtime,53,54,51,
Elizabeth's Prayer,55,55,53,
The Lights in the House of Her Mind,56,56,54,
Name,61,63,59,
Atsuko's Wedding Day,64,67,62,
Going Somewhere,68,69,66,
School Boy from Up Mauka,70,71,68,
Whirlpool,72,73,70,
Tori's Tale,74,75,72,
Joji and the Iceman,76,77,74,
Sea Flower,78,79,76,
Coral Chips,80,81,78,
Water Spots,82,83,80,
The Peddler,84,85,82,
Lost Birds,86,87,84,
Atsuko's Dream,88,88,86,
What My Mother Confided in a Moment of Sadness,89,90,87,
When Atsuko Came Up for Air,91,92,89,
Atsuko Between Stars and Waves,93,94,91,
Stop,95,96,93,
No-Place Children,97,98,95,
Womanhood,99,99,97,
Hala'i Hill-1957,100,101,98,
Day of Death,105,105,103,
Only Son,106,108,104,
Penmanship,109,111,107,
A Spin Around Town,112,114,110,
Late Praise,115,116,113,
My Mother's Sugar Loaves,117,119,115,
Tongue,120,121,118,
Caregiver,122,122,120,
Typical,123,124,121,
Before Time,125,125,123,
A Scolding from My Father,126,127,124,
Old-Time Friend Talking Any Kine at a Party,128,130,126,
The Bath,131,132,129,
The Waters of My Body,133,134,131,
After Smoke,135,137,133,
Not Thinking of You,138,141,136,
Homeless,142,143,140,
Feral,144,146,142,
"Son,,147, After the Attempt",145
Encouragement,148,149,146,
The First Time,150,151,148,
Bird,152,153,150,
Royally Pissed,154,155,152,
Late,156,157,154,
Nest,158,159,156,
Good as Gold,160,160,158,
The Struggle,161,162,159,
The Permission,163,164,161,
In a Rush,165,166,163,
The Way,167,168,165,
The Country of Grief,169,169,167,
What You Say,170,171,168,
Painter,172,173,170,
