Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Havana,17,17,3,
My Kind of Love Poem,18,18,4,
A History of Poetry,19,19,5,
Wilhelmina Shakespeare,20,20,6,
The Common Mental Health Disorders of Immigrants,21,23,7,
Advanced Placement,24,25,10,
Elegy for a Revolution,26,26,12,
Patriotic Anthem for a Lost Homeland,27,27,13,
Resort,28,28,14,
"New Jersey,,29, the Garden State",15
Rio Grande,31,31,17,
Fish Story,32,32,18,
Times Square,33,33,19,
Calendar,34,34,20,
The Thief,35,36,21,
Batteries Not Included,37,37,23,
Kids' Games,38,38,24,
Heart Grow Fonder,39,39,25,
Trees,40,41,26,
Promnesia,42,42,28,
The Reading,43,43,29,
Hospital Song,47,47,33,
Faith Healing,48,48,34,
Iatrogenic,49,49,35,
The Third Step in Obtaining an Arterial Blood Gas,50,50,36,
After the Floods,51,51,37,
For All the Freaks of the World,52,54,38,
Pharmacopeia for the New Millennium,55,57,41,
Recent Past Events,58,59,44,
Alternative Medicine,60,63,46,
Band of Gold,64,65,50,
Primary Care,66,66,52,
Nude,67,67,53,
Not Untrue,68,68,54,
On the Wards,69,69,55,
Without My White Coat,70,71,56,
Health,72,72,58,
Why Doctors Write,73,74,59,
Reforming Health Care,75,76,61,
The Performance,77,77,63,
Ode to the Lists in Front of Me,81,82,67,
LAX,83,83,69,
Plonk,84,85,70,
Views of Heaven,86,87,72,
Paternity,88,89,74,
The Massage,90,91,76,
On the Anniversary of the Terrorist Attacks,92,92,78,
Interrogative,93,93,79,
Dreams,94,94,80,
The Golden Age of Vanetian Painting,95,95,81,
Shared,96,97,82,
Within,98,98,84,
Love Song for Love Songs,99,99,85,
Poem Written at 5AM on the Sweetness of Life,100,100,86,
What the Dead See,101,101,87,
Sestinain Red,102,103,88,
The Destruction of the Temples of Machu Picchu,104,104,90,
