Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Time as Art in The Eternal City,19,19,1,
A Poet in Venice,20,21,2,
Garden of the Fugitives,22,22,4,
We're Not Going to Malta...,23,23,5,
"Through the Straits of Messina,,24, Singing",6
In Defense of Livorno,25,25,7,
Somewhere to Paris,26,26,8,
Torsos at the Louvre after Rlike,27,27,9,
"After Barcelona,,28, In Barcelona",10
Directions to The Beach of the Dead,29,30,11,
Winter of the Vocanoes: Guatemala,31,31,13,
Bargaining with a Goddess after Rigoberta Menchú,32,32,14,
"Pirenópolis,,33, Brazil: Under Protest",15
Return from El Cerrado,34,35,16,
Silent Family Clips,37,37,19,
Papá's Bridge,38,39,20,
What's Love Got to Do?,40,40,22,
Revisiting Metaphors at South Point,41,41,23,
Translation for Mamá,42,43,24,
Abuela's Voices: A Chronicle,44,48,26,
Returning Shine,49,50,31,
Only Brothers,51,51,33,
Then Someday,52,53,34,
The Perfect City Code,54,55,36,
Empty Crosswords,56,57,38,
What Is Not Mine,58,58,40,
Sending Palms in a Letter,59,59,41,
Three Unendings,60,62,42,
When I was a Little Cuban Boy,65,65,47,
"Looking for Blackbirds,,66, Hartford",48
A Little Hartford Music,68,68,50,
How Can You Love New York?,69,69,51,
Letter from Nowhere,70,70,52,
"Listening at Reading Farm,,71, an Elegy",53
"No More Than This,,72, Provincetown",54
Crossing Boston Harbor,73,73,55,
Mexican Almuerzo in New England,74,74,56,
Chilo's Daughters Sing for Me in Cuba,75,76,57,
Visiting tía Aida,77,78,59,
My Campo Santo,79,79,61,
where it begins-where it ends,80,80,62,
