Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
SPIRIT OF THE ANDES,27,31,,
AVATAR,32,33,,
WHAT THEY TELL- THE SPANISH TRUMPETS,34,40,,
THE CONDOR,41,41,,
THE ALLIGATOR,42,42,,
CONQUISTADORES,43,43,,
MAHOGANY,44,44,,
THE QUENA,45,45,,
HERALDRY,46,47,,
THE SADNESS OF THE GREAT APE,48,51,,
HUNTING PICTURE,52,53,,
THE ARAB STEEDS OF THE CONQUERORS,54,57,,
THE MAGNOLIA,58,58,,
ANTIGUA GUATAMALA,59,59,,
THE GREAT BOA,60,60,,
THE PUNA,61,61,,
MY JOURNEY,62,65,,
AREQUIPA THE WHITE CITY,66,68,,
A CORNER OF THE PERUVIAN ANDES,69,70,,
