Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Our Completion: Oil on Wood: Tino Rodrguez: 1999,25,25,,
Acquired Immune Deficiency Syndrome,26,27,,
Watermark,28,29,,
The Blindfold,30,30,,
In Colorado My Father Scoured and Stacked Dishes,31,32,,
"Misael: Oil,,, Acrylic, Mixed Media on Canvas: julio Galan: 2001"
Border Triptych,34,36,,
La Pelona: Mixed Media: Ester Hernandez: 1980,37,37,,
Immigration and Naturalization Service Report #46,38,38,,
Want,39,39,,
After Bei Dao/After jean Valentine,40,41,,
Se Me Olvidé Otra Vez,42,42,,
Self-Portrait with Tumbling and Lasso,43,45,,
Poem after Frida Kahlo's Painting The Broken Column,46,50,,
Cayucos,51,52,,
Variation on a Theme byjosé Montoya,55,63,,
Caballero,67,69,,
Ditat Deus,70,72,,
All the Trees of the Field Shall Clap Their Hands,73,74,,
To the Beastangel,75,76,,
To the Angelbeast,77,77,,
My Hands Are My Heart: Two-Part Cibachrome Print: Gabriel Orozco: 1991,78,79,,
Temple in a Teapot (Aqui Esta el Detalle),80,82,,
To a jornalero Cleaning Out My Neighbor's Garage,83,84,,
To Robert Hayden,85,86,,
Velvet Mesquite,87,88,,
To a Mojado Who Died Crossing the Desert,89,89,,
Saint Anthony's Church,90,90,,
Untitled (Perfect Lovers): Two Commercial Clocks: Felix Gonzalez-Torres: 1987-89,91,92,,
Acquired Immune Deficiency Syndrome,93,94,,
Monologue of a Vulture's Shadow,95,96,,
