Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
(NO TITLE),10,10,,
COMANCHE COUNTY,11,13,,
COLORS OF THE COMANCHE NATION FLAG,14,15,,
SNAKE,16,16,,
HE WAS A ROLLIN '20,17,18,,
THE OTHER CREATION STORY OF SUPERMAN,19,20,,
NDN WAY,21,21,,
CEDAR,22,22,,
"ACCOUNT OF THE LOST VALLEY FIGHT,,23, 1873",
SHAKESPEARE,24,26,,
JAIL,27,27,,
FAMILY TREE,28,29,,
HANDWRITTEN NOTES IN A BIBLE THICK AS BUFFALO MEAT,30,30,,
"TRANSLATED IN ENGLISH,,31, OUR LAST NAME MEANS:",
CROW CHILD,32,32,,
WHITE CLAY,33,33,,
ON COUNTY ROAD SI,34,34,,
BLACK STAR,35,35,,
BEEF ISSUE,36,36,,
OUIJA BOARD BLUES,37,37,,
PURE,38,38,,
AFTER THE FLOOD,39,39,,
HANDWRITTEN NOTES IN A BIBLE THICK AS BUFFALO MEAT,40,40,,
SPOTTED OWL,41,41,,
OF ARRANGED MARRIAGES AND COMANCHE WIVES,42,43,,
COMANCHE BAND HAIKUS,44,45,,
DISMANTLED HORSES,46,46,,
ODE TO LOOBEY,47,47,,
LAIR,48,48,,
HANDWRITTEN NOTES IN A BIBLE THICK AS BUFFALO MEAT,49,49,,
RED RIVER,50,52,,
WALKING HOME WITHOUT CIGARETTES,53,53,,
"BATTLE OF DIRTY SHAME,,54, OK",
PLUM BAYOU COMBINATIONS,56,56,,
HANDWRITTEN NOTES IN A BIBLE THICK AS BUFFALO MEAT,57,57,,
PENATHUKA,58,59,,
MOMENT AT THE 2004 MISS INDIAN USA PAGEANT WITH VELROY:,60,60,,
ANCHOR-SCREWS OF CULTURE,61,61,,
OF THE OWL'S TEELINGS,62,63,,
COMANCHERIA,64,64,,
ALIGHT,65,66,,
