Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Soft,15,15,3,
"Sometimes,,16, We Get Lucky",4
Embryonic Weave,18,18,6,
Even When the Sky Was Clear,19,20,7,
South Wind in the Big Horns,21,22,9,
Efun,23,23,11,
Who Strings the Bow?,24,24,12,
When the Air Is Dry,25,26,13,
The Incredible Shrinking Bike,27,28,15,
Thunderbeings,29,30,17,
Crystal Hawk Song,31,31,19,
Little Birds,32,32,20,
Whose Mouth Do I Speak With,33,33,21,
Haunting Fullblood,37,38,25,
Even on Lark Street,39,40,57,
Les Montagne,41,41,59,
Not the Same Dream,42,42,30,
This Breath We Are,43,43,31,
Eleanor,44,44,32,
The Sorrows of the World Are Not Yours to Keep,45,45,33,
Sowing,46,46,34,
Warrior Women,47,47,35,
Behind the Beaded Curtains,48,48,36,
The Blessing,49,49,37,
Poolside Manna,50,51,38,
Dance,52,52,40,
A Light Wind Beyond Temple,53,54,41,
Take from my Hair-Memories of Change,55,56,43,
Billboard in the Clouds,57,57,45,
Smything,61,62,49,
Where the Apples Fall,63,63,51,
Ishnanti,64,64,52,
"To the Limits,,65, Charles... Driving Ms. Mixblood",53
Heron-man Passed Over,67,67,55,
The Wisp,68,69,56,
I Am Counting,70,70,58,
Sipping,71,73,59,
Even in Keflavik,74,76,62,
Blossom for a Day,77,77,65,
Honor Song,78,78,66,
