Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
OJISTOH,45,47,3,5
AS RED MEN DIE,48,50,6,8
THE PILOT OF THE PLAINS,51,53,9,11
THE CATTLE THIEF,54,60,12,16
A CRY FROM AN INDIAN WIFE,61,63,17,19
DAWENDINE,64,67,20,23
WOLVERINE,68,72,24,28
THE VAGABONDS,73,74,29,30
THE SONG MY PADDLE SINGS,75,76,31,32
THE CAMPER,79,79,33,33
AT HUSKING TIME,80,80,34,34
WORKWORN,81,82,35,36
EASTER,83,84,37,38
ERIE WATERS,85,85,39,39
THE FLIGHT OF THE CROWS,86,87,40,41
MOONSET,88,88,42,42
MARSHLANDS,89,89,43,43
JOE,90,91,44,45
SHADOW RIVER,92,93,46,47
RAINFALL,94,94,48,48
UNDER CANVAS,95,96,49,50
THE BIRDS' LULLABY,97,98,51,52
OVERLOOED,99,99,53,53
FASTING,100,102,54,56
CHRISTMASTIDE,103,103,57,57
CLOSE BY,104,105,58,59
THE IDLERS,106,108,60,62
AT SUNSET,109,109,63,63
PENSEROSO,110,110,64,64
RE-VOYAGE,111,112,65,66
BRIER,113,113,67,67
WAVE-WON,114,115,68,69
THE HAPPY HUNTING GROUNDS,116,117,70,71
IN THE SHADOWS,118,119,72,73
NOCTURNE,120,121,74,75
MY ENGLISH LETTER,122,123,76,77
CANADIAN BORN,127,128,81,82
WHERE LEAPS THE STE. MARIE,129,129,83,83
HARVEST TIME,130,130,84,84
LADY LORGNETTE,131,132,85,86
LOW TIDE AT ST. ANDRES,133,133,87,87
BEYOND THE BLUE,134,137,88,91
THE MARINER,138,139,92,93
LULLABY OF THE IROQUO!,140,140,94,94
THE CORN HUSKER,141,141,95,95
PRARIE GREYHOUNDS,142,143,96,97
GOLDEN-OF THE SELKIRKS,144,145,98,99
THE SONGSTER,146,146,100,100
THISTLE-DOWN,149,149,101,101
THE RIDERS OF THE PLAINS,150,152,102,104
SILHOUETTE,153,153,105,105
A PRODIGAL,154,154,106,106
THROUGH TIME AND BITTER DISTANCE,155,156,107,108
AT HALF-MAST,157,159,109,111
THE SLEEPING GIANT,160,160,112,112
THE QUILL WORKER,161,162,113,114
GUARD OF THE EASTERN GATE,163,163,115,115
AT CROW'S NEST PASS,164,164,116,116
GIVE US BARABBAS,165,166,117,118
YOUR MIRROR FRAME,167,168,119,120
THE CITY AND THE SEA,169,169,121,121
FIRE-FLOWERS,170,170,122,122
A TOAST,171,172,123,124
LADY ICICLE,173,174,125,126
THE LEGEND OF QU'APPELLE VALLEY,175,178,127,130
THE ART OF ALMA-TADEMA,179,179,131,131
GOOD-BYE,180,180,132,132
IN GREY DAYS,183,183,135,135
BRANDON,184,184,136,136
THE INDIAN CORN PLANTER,185,185,137,137
THE CATTLE COUNTRY,186,186,138,138
AUTUMN'S ORCHESTRA:,189,191,139,141
THE TRAIL TO LILLOOET,192,193,142,143
CANADA,194,194,144,144
THE LIFTING OF THE MIST,195,195,145,145
THE HOMING BEE,196,196,146,146
THE LOST LAGOON,197,197,147,147
THE TRAIN DOGS,198,198,148,148
THE KING'S CONSORT,201,202,149,150
WHEN GEORGE WAS KING,203,204,151,152
DAY DAWN,205,206,153,154
THE ARCHER,207,208,155,156
THE WOLF,209,209,157,157
THE MAN IN CHRYSANTH MUM LAND,210,211,158,159
CALGARY OF THE PLAINS,212,213,160,161
THE BALLAD OF THE YAADA,214,217,162,165
"AND HE SAID,166,218, FIGHT ON""",166
