Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Love and Heartbreak Are Fuck Buddies,19,19,3,3
The Cree Word for a Body Like Mine Is Weesageechak,20,20,4,4
Gay Incantations,21,21,5,5
Notes from a Public Washroom,22,22,6,6
There Is a Dirt Road in Me,23,23,7,7
"Wihtikowak Means ""Men Who Can't Survive Love""",24,24,8,8
The Rez Sisters 11,25,25,9,9
Six Theses on Why Native People Die,26,26,10,10
Sacred,27,27,11,11
A History of the Present,28,28,12,12
We Were Never Meant to Break Like This,29,29,13,13
I Am Hoping to Help This City Heal from Its Trauma,30,31,14,15
Heartbreak Is a White Kid,33,33,17,17
"If I Have a Body,18,34, Let It Be a Book of Sad Poems",18
Grief after Grief after Grief after Grief,35,35,19,19
The Creator Is Trans,36,36,20,20
The Back Alley of the World,37,37,21,21
Native Too,38,38,22,22
Colonialism: A Love Story,39,39,23,23
God's River,40,41,24,25
Love and Other Experiments,43,43,27,27
OkCupid,44,45,28,29
Towards a Theory of Decolonization,46,46,30,30
An Elegy for Flesh,47,47,31,31
Everyone Is Lonely,48,48,32,32
There Is No Beautiful Left,49,49,33,33
Boyfriend Poems,50,50,34,34
God Must Be an Indian,51,51,35,35
Sexual History,52,52,36,36
Time contra Time,53,53,37,37
Something Like Love,54,54,38,38
Ode to Northern Alberta,55,55,39,39
The Oxford Journal,57,59,41,43
"If Our Bodies Could Rust,45,60, We Would Be Falling Apart",44
The Rubble of Heartbreak,63,63,47,47
Wapekeka,64,64,48,48
Ode to Native Men,65,65,49,49
"To Speak of the Dead,51,66, I Must Begin with the Photon",50
Hermeneutics of the Sometimes/Somewhere,68,68,52,52
Love Is a Moontime Teaching,69,69,53,53
