Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
The Bear,29,29,,
Buteo Regalis,30,30,,
Comparatives,31,31,,
Earth and I Gave You Turquoise,32,32,,
Simile,33,33,,
Plainview: 1,34,34,,
Plainview: 2,35,36,,
Plainview: 3,38,38,,
Plainview: 4,39,39,,
The Fear of Bo-talee,40,40,,
The Horse That Died of Shame,41,41,,
The Delight Song of Tsoai-talee,42,42,,
Sun Dance Shield,43,43,,
Headwaters,45,45,,
Rainy Mountain Cemetery,46,46,,
Angle of Geese,47,47,,
The Gourd Dancer,48,49,,
New World,50,51,,
Carriers of the Dream Wheel,52,52,,
The Stalker,53,53,,
The Colors of Night,54,56,,
"North Dakota,,57, North Light",
Long Shadows at Dulce,58,58,,
Crows in a WInter Composition,59,59,,
Anywhere Is a Street into the Night,60,60,,
The Burning,61,61,,
The Wound,63,63,,
Forms of the Earth at Abiquiu,64,64,,
The Gift,65,65,,
Two Figures,69,69,,
Riding Is an Exercise of the Mind,71,73,,
"Billy the Kid,,74, His Rocking Horse: A Lullaby",
Billy the Boy at Silver City,75,75,,
"Henry McCarty Witnesses His Mother's Marriage,,76, 1 March 1873",
The Man in Black,77,78,,
He Reckons Geologic Time According to His Sign,79,79,,
A Prospector Catches Sight of Him in the Doña Anas,80,80,,
On the Simple Nature of His Lust,81,81,,
The Girl at the Doll House,82,82,,
Billy's Boast to an Old Blind Woman at San Patricio,83,83,,
He Counts Anacita the Weaver Among His True Loves,84,84,,
Billy the Kid Offers a Kindness to an Old Man at Glorieta,85,86,,
He Encounters a Player at Words,87,87,,
He Would Place a Chair for Sister Blandina,88,88,,
Billy Fixes a Bully in His Gaze,89,89,,
Trees and Evening Sky,90,90,,
He Foretells Disaster in a Dream,91,91,,
He Enters Upon the Afternoon of His Last Day,92,92,,
"Billy the Kid,,, the Departure of His Soul, 14 July 1881"
Wide Empty Landscape with a Death in the Foreground,94,94,,
Two Figures,95,95,,
The Story of a Well-Made Shield,99,101,,
The Shattered Sky Shield,103,103,,
The Shield That Came Back,105,105,,
The Floating Feathers Shield,107,107,,
Bote-talee's Shield,109,109,,
The Sun Dance Shield,111,111,,
The Plainest of Shields,113,113,,
The Shield of the Time of the Bluebonnets,115,115,,
The Shield of Which the Less Said the Better,117,117,,
The Shield That Died,119,119,,
Walking Bear's Shield,121,121,,
The Shield of Pai-matone's Brother,123,123,,
The Shield That Was Touched by Pretty Mouth,125,125,,
The Shield That Was Looked After by Dogs,127,127,,
The Muddy Horses Shield,129,129,,
The Shield That Was Brought Down from Tsoai,131,131,,
The Shield of Two Dreams,133,133,,
Planned Parenthood,137,137,,
The Death of Beauty,138,138,,
On Futility,139,139,,
On Chastity,141,141,,
Of Ambition,142,142,,
On the Cause of a Homely Death,143,143,,
The Great Fillmore Street Buffalo Drive,145,145,,
Marina Green,147,147,,
Nous avons vu la mer,148,148,,
A Fire at Thule,149,149,,
Wreckage,150,150,,
Old Guerre,151,151,,
The Hotel 1829,152,152,,
Concession,153,153,,
Woman Waiting on a Porch,154,154,,
Mogollon Morning,155,155,,
Prayer,156,156,,
Four Charms,157,157,,
Rings of Bone,158,158,,
Scaffold Bear,159,159,,
If It Could Ascend,160,160,,
My Words Do Not Hold,161,161,,
"Carnegie,,, Oklahoma, 1919"
Lawrence Ranch,163,163,,
"December 29,,165, 1890",
Fort Sill,167,167,,
At Risk,169,169,,
