Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
gayl jones,2,,16,16
billie holiday/roland barthes,3,,17,18
wanda jean allen/kendall thomas,5,,19,19
jeanne moreau/miles davis,6,,20,20
charlie jenkins,7,,21,21
james brown,8,,22,22
henry dumas,9,,23,23
fishbone/joseph jarman,10,,24,24
"elvin jones, malachi favors, stevelacy",11,,25,25
"alexander weheliye, lygia clark, edroberson",12,,26,26
"sherrie tucker, francis ponge, sunra",13,,27,27
gary fisher,14,,28,30
yopie prins,17,,31,31
robert farris thompson,18,,32,32
brent edwards,19,,33,33
bessie smith,20,,34,34
jean-michel basquiat,21,,35,35
alice key,22,,36,37
james baldwin,24,,38,39
william parker/fred mcdowell,26,,40,41
cecil taylor/almeida ragland,28,,42,43
tony oxley/frederick douglass,30,,44,45
walter benjamin/julian boyd,32,,46,46
peck curtis,33,,47,47
john thompson,34,,48,50
george gervin/michael fried,37,,51,51
adrian piper,38,,52,52
josé munoz,39,,53,53
michael hanchard/woody guthrie,40,,54,55
thelma foote/lindon barrett,42,,56,57
elizabeth cotten/nahum chandler,44,,58,60
ann cvetkovich/kathleen stewart,47,,61,61
frank ramsay/nancy wilson,48,,62,62
arthur jafa and greg tate,49,,63,63
joetorra,50,,64,66
piet mondrian,53,,67,67
nathaniel mackey,54,,68,68
marie jenkins,55,,69,69
q.b. bush,56,,70,71
sleater-kinney,58,,72,72
eric dolphy,59,,73,73
general baker,60,,74,74
johnny cash/rosetta tharp,61,,75,76
pam grier,63,,77,77
bobby bland,64,,78,78
la nina de los peines,65,,79,79
laura harris,66,,80,82
betty carter,69,,83,83
william corbett,70,,84,85
june jordan,72,,86,86
murray jackson,73,,87,87
curtis mayfield,74,,88,90
carrie tirado bremen,77,,91,91
margaret walker/audre lorde,78,,92,92
audre lorde/kara keeling,79,,93,93
chrisshonna grant/victor feldman,80,,94,94
toni morrison/renee gladman,81,,95,95
njeeri wa thiong'o,82,,96,96
john work,83,,97,97
barbara lee,84,,98,101
mike davis and glynda white,88,,102,102
charlie parker,89,,103,103
birdia mott,90,,104,104
julian djibril,91,,105,105
lorenzo bird,92,,106,107
fred hopkins,94,,108,108
b jenkins,95,,109,109
