Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Mammy's Baby Scared,3,3,17,17
Taint No Need o' Women Worrin',4,5,18,19
I Ain't Turn Sussie Out,6,7,20,21
De Signs o' Spring,8,8,22,22
The Old Mill,9,9,23,23
It's All Through Life,10,10,24,24
"Eligia, the Bad Boy",11,11,25,25
Scolding Baby Boy,12,12,26,26
The Escort,13,13,27,27
The Night I Went to Church,14,15,28,29
Sleep On Ye Happy Sons,16,16,30,30
The Day of Freedom,17,17,31,31
My Little Cabin Home,18,18,32,32
The Lover's Spat,19,20,33,34
Snow Hill,21,21,35,35
The Invitation,22,22,36,36
A Word to Ethiopia,23,23,37,37
Booker T. Washington,24,24,38,38
Paul Lawrence Dunbar,25,25,39,39
I Am Ma' an' Papa' Baby,26,26,40,40
The Flower,27,27,41,41
When the Different Churches Meet,28,28,42,42
I Use ter Dres',29,29,43,43
Where Hearts Are Gay,30,30,44,44
Home Instruction,31,31,45,45
The New Year's Resolve,32,32,46,46
Labor On,33,33,47,47
Forget Me Not,34,34,48,48
Annoyance,35,35,49,49
Der Fiddle Is My Comfort,36,36,50,50
The Favorite Diet,37,37,51,51
Good After Ill,38,38,52,52
The Prayer of the Faithful,39,39,53,53
A Daily Prayer,40,40,54,54
"Keep Me, Jesus, Keep Me",41,41,55,55
Run on Home,42,42,56,56
Sing on to Jesus,43,43,57,57
Seek the Lost,44,44,58,58
"""You'll Reap What You Sow""",45,45,59,59
Move On,46,46,60,60
The Departure,47,48,61,62
Twas Mother,49,49,63,63
The Mother's Farewell to Her Son,50,50,64,64
Take Me Home,51,51,65,65
The Day of Repentance,52,52,66,66
What Have I Done,53,53,67,67
When the Way Seems Dark,54,54,68,68
In the Hour of Death,55,55,69,69
Eventide,56,56,70,70
Winter Is Coming,57,57,71,71
The Combat,58,58,72,72
"Red, White, and Blue",59,59,73,73
Sing Out for Peace,60,60,74,74
