Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
The Vale of Solitude,19,21,25,27
My Mother's Picture,22,22,28,28
Love,23,23,29,29
The Beauties of Woman,24,25,30,31
The Siren,26,27,32,33
The Manly Man,28,28,34,34
The Libertine,29,30,35,36
The Flower at My Window,31,32,37,38
The Household Queen,33,34,39,40
The Man With the Gun,35,36,41,42
To the Sighing Winds,37,39,43,45
One of Earth's Few,40,40,46,46
Only a Little Curl,41,41,47,47
Rocked on the Waters of the Deep,42,44,48,50
To the Ocean Pacific,45,46,51,52
Paul Lawrence Dunbar,47,47,53,53
Little Golden Pen,48,48,54,54
To One of the Brave,49,49,55,55
The New Leaf,50,50,56,56
"""Ever Faithful to You""",51,52,57,58
The Sunlight of Temperance,53,53,59,59
The Drink-Slave,54,55,60,61
"""Looking for Work""",56,57,62,63
The Debtor,58,58,64,64
A Dedication (Booker T. Washington),59,60,65,66
The Hand That Guides the Plow,61,62,67,68
Toussaint L'Ouverture,63,64,69,70
San Francisco's 18th of April (1906),65,66,71,72
An Ode to the Christian Martyrs,67,67,73,73
A Memorial (Frederick Douglass),68,68,74,74
Life's Day,69,71,75,77
Pantheon,72,72,78,78
A Major Chord,73,74,79,80
A Minor Chord,75,76,81,82
Time's Chord,77,77,83,83
Sharps and Flats,78,78,84,84
A Dirge to Ancient Rome,79,80,85,86
The Dove,81,83,87,89
Voices of the Waves,84,84,90,90
The Miser,85,85,91,91
The Spendthrift,86,87,92,93
Anita,88,93,94,99
An Elegy to John Brown,94,94,100,100
The Treasured Curl,95,96,101,102
Uncle Ike's Opinion of Winterpock's College,97,99,103,105
The Faded Leaves,100,100,106,106
Christmas Morn,101,101,107,107
"""I Love You, Too""",102,103,108,109
Have I Done Wrong?,104,105,110,111
A Divided Love,106,107,112,113
My Father's Letter,108,109,114,115
Thanksgiving,110,110,116,116
The Frozen Rain,111,111,117,117
A Winter's Sunrise,112,112,118,118
The Death of a Soldier-Comrade,113,118,119,124
Scaevola,119,120,125,126
Imagination (Essay and Poem),121,123,127,129
Retrospection,124,125,130,131
Teach Me,126,126,132,132
"""Rest in Jesus""",127,127,133,133
THE!!!,128,128,134,134
