Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Threshold,3,4,9,10
Telemachus,7,8,11,12
Trojan,9,9,13,13
Aubade with Burning City,10,12,14,16
A Little Closer to the Edge,13,13,17,17
Immigrant Haibun,14,16,18,20
Always & Forever,17,18,21,22
My Father Writes from Prison,19,19,23,23
Headfirst,20,21,24,25
In Newport I Watch My Father Lay His Cheek to a Beached Dolphin's Wet Back,22,23,26,27
The Gift,24,25,28,29
Self-Portrait as Exit Wounds,26,28,30,32
Thanksgiving 2006,29,29,33,33
Homewrecker,30,30,34,34
Of Thee I Sing,31,32,35,36
Because It's Summer,33,34,37,38
Into the Breach,35,37,39,41
Anaphora as Coping Mechanism,38,38,42,42
Seventh Circle of Earth,39,40,43,44
On Earth We're Briefly Gorgeous,41,44,45,48
Eurydice,45,46,49,50
"Untitled [Blue, Green, and Brown): oil on canvas: Mark Rothko: 1952",47,47,51,51
Queen Under The Hill,48,49,52,53
Torso of Air,50,50,54,54
Prayer for the Newly Damned,51,51,55,55
To My Father / To My Future Son,52,54,56,58
Deto(nation),55,55,59,59
Ode to Masturbation,56,62,60,66
Notebook Fragments,63,67,67,71
The Smallest Measure,68,69,72,73
Daily Bread,70,72,74,76
Odysseus Redux,73,74,77,78
Logophobia,75,76,79,80
Someday I’ll Love Ocean Vuong,77,78,81,82
Devotion,79,80,83,84
