Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Balance,1,1,13,13
Potter's Fields,2,2,14,14
Lisboa 1755,3,3,15,15
Not That Our Empire Declines,4,4,16,16
About Dirt,5,5,17,17
The Strike,6,6,18,18
"Telegonus, Latinus, Agrius",7,7,19,19
The Graceful Country,8,8,20,20
Instructions Received by New Colony,9,11,21,23
The Wish Answered,15,15,27,27
Five Dollars,16,16,28,28
School of Dentistry,17,18,29,30
School of Taxidermy,19,19,31,31
Hiking to Sugarloaf,20,20,32,32
Misreading Solomon,21,21,33,33
School of Architecture,22,22,34,34
Saignée,23,23,35,35
Sulfur,24,24,36,36
"Early Winter, After Sappho",25,25,37,37
How to Care?,29,29,41,41
On Power Outages,30,30,42,42
Passage Interdit aux Non Musulmans,31,31,43,43
Story of Man's Desire,32,32,44,44
And About Time,33,39,45,51
School of Rhetoric,40,40,52,52
A Season of Coal,41,41,53,53
The Burning of San Francisco,42,42,54,54
The Masterly Play of Form,43,43,55,55
Convalescence,44,44,56,56
Mining Expedition,45,46,57,58
Salt,47,48,59,60
There Were No Horses,49,49,61,61
The River,53,61,65,73
