Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
What about my Songs,3,3,47,47
Where is the Poet,4,4,48,48
The Desert of 'No More',5,5,49,49
Seas of Loneliness,6,7,50,51
The Garden of Truth,8,8,52,52
Like a Paper Lantern,9,9,53,53
I Hail myself as I do Homer,13,15,57,59
The Night Reverie in the Forest,16,19,60,63
Song of Day in Yosemite Valley,20,23,64,67
Song of Night in Yosemite Valley,24,25,68,69
Apparition,29,30,73,74
O Cho San,31,33,75,77
Address to a Soyokaze,34,36,78,80
Under the Moon,37,40,81,84
O Hana San,41,44,85,88
The Myoto,45,46,89,90
The Goddess: God,47,47,91,91
By the Sea,48,50,92,94
Homekotoba,51,59,95,103
Upon the Heights,60,61,104,105
The Poet,62,62,106,106
The Face in the Mirror,63,66,107,110
How near to Fairyland,67,67,111,111
Lines,68,68,112,112
Spring,69,70,113,114
Prose Poems,73,80,117,124
"""The New Art""",83,83,127,127
By the Engakuji Temple: Moon Night,84,85,128,129
To a Nightingale,86,87,130,131
I am Like a Leaf,88,88,132,132
To the Sunflower,89,89,133,133
Shadow,90,90,134,134
The Fantastic Snow-flakes,91,92,135,136
Ghost of Abyss,93,93,137,137
Autumn Song,94,94,138,138
Fantasia,95,96,139,140
The Temple Bell,97,97,141,141
To the Cicada,98,98,142,142
The Lady of Utamaro's Art,99,99,143,143
The Buddha Priest in Meditation,100,101,144,145
In the Inland Sea,102,103,146,147
Kyoto,104,104,148,148
My Little Bird,105,106,149,150
Her Weapons are a Smile and a Little Fan,107,107,151,151
My Heart,108,108,152,152
The Lotus Worshippers,109,110,153,154
Lines,111,111,155,155
The Eastern Sea,112,113,156,157
To a Sparrow,114,114,158,158
Right and Left,115,115,159,159
In Japan Beyond,116,117,160,161
Cradle Songs,118,119,162,163
Japanese Hokkus,123,126,167,170
