Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
The Magic Whip,,,11,14
"After Thrashing About, but Not Violently",,,15,15
Mixed Blood,,,16,18
First Step,,,19,19
On the Other Hand,,,20,20
Our Teacher of Marxism,,,21,21
"Bombs, Orange, Bags of Rice",,,22,24
Silent Witness,,,25,26
On the Blue Treasure Plateau,,,27,27
"Wet Nurse, Mother Goose",,,28,31
Where the Story Goes,,,32,33
Ways to Ai,,,34,36
Aching for Beauty,,,37,39
Insomnia in Downtown St. Paul,,,40,40
I Curse Because,,,41,43
Phoenix Claws,,,44,44
Oral,,,45,46
Star Map,,,47,47
Eight Thousand Miles of Roads,,,48,50
Opening the Face,,,51,52
"Fractured Allegory, Hand-copied Manual",,,53,55
Stones and Bronzes,,,56,66
Adam's Prayer,,,67,67
Distilled Spirit,,,68,71
Ode to the Mississippi,,,72,72
Sequoia,,,73,73
The Pilgrims,,,74,77
Night Shift,,,78,78
Zhangmu,,,79,83
Aftertaste,,,84,85
Jade Claws Touching the Cave,,,86,88
Outskirts,,,89,90
Great Summons,,,91,94
On a Playground,,,95,97
Heart and Liver,,,98,98
Tsunami Chant,,,99,100
