Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Rain and Red Roses,15,,17,18
Love Letters,17,,19,20
Symmetry,19,,21,22
Suspicious,21,,23,24
Two Queens,23,,25,27
Old Biddies,26,,28,28
Champing at the Bit,27,,29,30
Recognition,29,,31,32
What to Be,31,,33,33
Shower,32,,34,35
Knowing,34,,36,36
The Scolding,35,,37,39
Elegant,38,,40,40
Morning,39,,41,41
Missing Person All Points Bulletin,40,,42,42
Feeling Smug,41,,43,44
Caring for Mother,43,,45,47
After the Jupiter Symphony Conducted by Pinchas Zukerman,46,,48,48
Last Concert,47,,49,50
Bearer of Water,49,,51,52
Bedtime,51,,53,54
Elizabeth's Prayer,53,,55,55
The Lights in the House of Her Mind,54,,56,56
Name,59,,61,63
Atsuko's Wedding Day,62,,64,67
Going Somewhere,66,,68,69
School Boy from Up Mauka,68,,70,71
Whirlpool,70,,72,73
Tori's Tale,72,,74,75
Joji and the Iceman,74,,76,77
Sea Flower,76,,78,79
Coral Chips,78,,80,81
Water Spots,80,,82,83
The Peddler,82,,84,85
Lost Birds,84,,86,87
Atsuko's Dream,86,,88,88
What My Mother Confided in a Moment of Sadness,87,,89,90
When Atsuko Came Up for Air,89,,91,92
Atsuko Between Stars and Waves,91,,93,94
Stop,93,,95,96
No-Place Children,95,,97,98
Womanhood,97,,99,99
Hala'i Hill-1957,98,,100,101
Day of Death,103,,105,105
Only Son,104,,106,108
Penmanship,107,,109,111
A Spin Around Town,110,,112,114
Late Praise,113,,115,116
My Mother's Sugar Loaves,115,,117,119
Tongue,118,,120,121
Caregiver,120,,122,122
Typical,121,,123,124
Before Time,123,,125,125
A Scolding from My Father,124,,126,127
Old-Time Friend Talking Any Kine at a Party,126,,128,130
The Bath,129,,131,132
The Waters of My Body,131,,133,134
After Smoke,133,,135,137
Not Thinking of You,136,,138,141
Homeless,140,,142,143
Feral,142,,144,146
"Son, After the Attempt",145,,147,147
Encouragement,146,,148,149
The First Time,148,,150,151
Bird,150,,152,153
Royally Pissed,152,,154,155
Late,154,,156,157
Nest,156,,158,159
Good as Gold,158,,160,160
The Struggle,159,,161,162
The Permission,161,,163,164
In a Rush,163,,165,166
The Way,165,,167,168
The Country of Grief,167,,169,169
What You Say,168,,170,171
Painter,170,,172,173
