Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Havana,3,,17,17
My Kind of Love Poem,4,,18,18
A History of Poetry,5,,19,19
Wilhelmina Shakespeare,6,,20,20
The Common Mental Health Disorders of Immigrants,7,,21,23
Advanced Placement,10,,24,25
Elegy for a Revolution,12,,26,26
Patriotic Anthem for a Lost Homeland,13,,27,27
Resort,14,,28,28
"New Jersey, the Garden State",15,,29,30
Rio Grande,17,,31,31
Fish Story,18,,32,32
Times Square,19,,33,33
Calendar,20,,34,34
The Thief,21,,35,36
Batteries Not Included,23,,37,37
Kids' Games,24,,38,38
Heart Grow Fonder,25,,39,39
Trees,26,,40,41
Promnesia,28,,42,42
The Reading,29,,43,43
Hospital Song,33,,47,47
Faith Healing,34,,48,48
Iatrogenic,35,,49,49
The Third Step in Obtaining an Arterial Blood Gas,36,,50,50
After the Floods,37,,51,51
For All the Freaks of the World,38,,52,54
Pharmacopeia for the New Millennium,41,,55,57
Recent Past Events,44,,58,59
Alternative Medicine,46,,60,63
Band of Gold,50,,64,65
Primary Care,52,,66,66
Nude,53,,67,67
Not Untrue,54,,68,68
On the Wards,55,,69,69
Without My White Coat,56,,70,71
Health,58,,72,72
Why Doctors Write,59,,73,74
Reforming Health Care,61,,75,76
The Performance,63,,77,77
Ode to the Lists in Front of Me,67,,81,82
LAX,69,,83,83
Plonk,70,,84,85
Views of Heaven,72,,86,87
Paternity,74,,88,89
The Massage,76,,90,91
On the Anniversary of the Terrorist Attacks,78,,92,92
Interrogative,79,,93,93
Dreams,80,,94,94
The Golden Age of Vanetian Painting,81,,95,95
Shared,82,,96,97
Within,84,,98,98
Love Song for Love Songs,85,,99,99
Poem Written at 5AM on the Sweetness of Life,86,,100,100
What the Dead See,87,,101,101
Sestinain Red,88,,102,103
The Destruction of the Temples of Machu Picchu,90,,104,104
