Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
"Affirmations #1, Life Shoppin' In Ma Becksy's Deli",,,15,16
Autobiography Of A Nuyorican,,,17,18
Springfield,,,19,20
Father's Day On Longwood Avenue,,,21,22
Sistas,,,23,23
I Want To Paint,,,24,25
Religious Instructions For Young Casualties,,,26,27
Mambo Love Poem,,,28,29
Mother's Day At Doña Rodríguez,,,30,31
Invisible Inscriptions,,,32,33
"Rites of Passage #1, María Poeta Bled Daily",,,34,35
So Your Name Isn't María Cristina,,,36,37
Native America,,,38,39
Afterbirths,,,40,40
"Affirmations #2, There Is A Poet Inside You",,,41,41
This Is A Hill That Climbs,,,42,42
Love Affair With A Welfare Hotel,,,45,46
"Puerto Rican Discovery #5, Here Like There",,,47,47
Alternative Points Of View,,,48,49
Unprescribed Symptoms Of A Life Withdrawal,,,50,50
3:00 A.M. Eulogy For A Small Time Poet,,,51,51
Original Jones Poem In Bb,,,52,52
"South Bronx Testimonial #3, We Are All Insane",,,53,53
Death Watch,,,54,55
Because Life Is A Bitch,,,56,57
Poema Para La Muerte,,,58,60
Who Is Going To Tell Me,,,61,63
"Puerto Rican Discovery #6, Lodestar",,,64,64
Open Memo,,,65,65
Point Of Information,,,66,66
Anonymous Apartheid,,,67,68
Fighting Demons,,,69,70
"Puerto Rican Discovery #7, In The Eye Of The Storm",,,71,71
Braintwister,,,72,72
"Rumba Amiga, Amiga",,,75,75
Gringolandia,,,76,76
"Affirmations #3, Take Off Your Mask",,,77,77
In The Ring,,,78,78
"Black Notes And ""You Do Something To Me""",,,79,80
From The Ferrybank,,,81,82
Resurrections,,,83,83
Oshun's Love Poem,,,84,85
"Affirmations #4, I Seek",,,86,86
Padrino,,,87,87
Bautizo,,,88,88
Life Is A Journey,,,89,89
Ocha,,,90,90
101st Poem For My Husband,,,91,91
