Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
A Physics of Sudden Light,1,2,13,14
Day of the Refugios,5,6,17,18
The Birdman of Nogales,7,9,19,21
The Weekly Morning Meeting of the Town's Civic Band,10,11,22,23
A Smiple Thing to Know,12,13,24,25
Mr. Palomino Walks By Again,14,15,26,27
"At the Street Parties for the 16 de septiembre, Nogales, Mexico, 1962",16,17,28,29
Los voladores de Papantla,18,19,30,31
Appointment Houses,20,22,32,34
Kid Hielero,23,25,35,37
Refugio's Hair,26,27,38,39
Small Risings,31,31,43,43
Signal Right,32,33,44,45
French Postales,34,36,46,48
In Second Grade Miss Lee I Promised Never to Forget You and I Never Did,37,37,49,49
Eating Potato Chips in Middle Age,38,38,50,50
The Venus Trombones,39,40,51,52
My Chili,41,45,53,57
In My Hurry,49,50,61,62
The Nipplebutton,51,52,63,64
A Small Motor,53,53,65,65
The Cities inside Us,54,54,66,66
What We've Done to Each Other,55,56,67,68
The Impossible Still-Life,59,59,71,71
Oranges in a Tree,60,61,72,73
A Yellow Leaf,62,62,74,74
The Fall of the Bears,63,64,75,76
The Gathering Evening,65,65,77,77
Gray Dogs,66,67,78,79
Common Crows in a Winter Tree,68,69,80,81
My Coyote,70,71,82,83
What Happened to Me,72,72,84,84
Under Mesquite Trees in the Sun,73,73,85,85
Rabbits and Fire,74,75,86,87
The Dog inside Mine,76,76,88,88
Chinese Food in the Fifties,79,81,91,93
"Summers, About 1959",82,82,94,94
In the Strong Hold of Her Thin Arms,83,83,95,95
A September Death,84,84,96,96
If I Leave You,85,89,97,101
Cups of Frothed Chocolate,90,91,102,103
The Lemon Kind of Baseball,92,93,104,105
Domingo Limón,94,97,106,109
Holding My Shirts,98,99,110,111
Writing from Memory,100,101,112,113
Some Extensions on the Sovereignty of Science,102,103,114,115
