Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Arroz Poetica,,,21,24
Jacaranda,7.0,7.0,27,27
"After Lightning, I Dream of Abrigette",8.0,8.0,28,28
Santa Ana of Grocery Carts,9.0,10.0,29,30
Ode to the Brain,11.0,11.0,31,31
Ode to the Watermelon,12.0,13.0,32,33
Sudan,14.0,15.0,34,35
Palimpsest,16.0,17.0,36,37
Adisogdo's Song,18.0,19.0,38,39
Ride,20.0,20.0,40,40
Then Sing,21.0,23.0,41,43
Here,24.0,27.0,44,47
To the (Heart) Horse,31.0,31.0,51,51
Astigmatism,32.0,32.0,52,52
Conjugation,33.0,34.0,53,54
The Piano,35.0,36.0,55,56
Teeth,37.0,37.0,57,57
Consider the Hands that Write this Letter,38.0,40.0,58,60
"Snail, or, To a House",41.0,42.0,61,62
"Hyena, Hyena",43.0,43.0,63,63
Cyclops Mary (I),44.0,44.0,64,64
"Cyclops Mary on the Avenue, A Monologue (II)",45.0,46.0,65,66
The Incredible Story of Mother Mom & the Daughter Who Was Taken by Crows (As Told by the Oldest Girl),47.0,50.0,67,70
Zouk,51.0,51.0,71,71
Ish,52.0,53.0,72,73
"Aunt Margaret, Tree of Blackbirds, Tree of Oranges",54.0,55.0,74,75
Chernobyl,59.0,59.0,79,79
In the Cane Fields,60.0,60.0,80,80
"Limay, Nicaragua",61.0,61.0,81,81
What Brang Me Here,62.0,62.0,82,82
But When They Go to Light the Fire on Me,63.0,63.0,83,83
"Lázaro, for Don Tranquilino",64.0,64.0,84,84
Lazrus & Girlie Speak of Rising a Hundred Days After Lazrus' Death,65.0,66.0,85,86
Ghazal,67.0,68.0,87,88
Tucutu Tán,69.0,70.0,89,90
Invocation,73.0,75.0,93,95
Antinion,76.0,77.0,96,97
Scent: Love Poem for the Pilón,81.0,81.0,101,101
The Dog,82.0,83.0,102,103
Ode to the Letter B,84.0,85.0,104,105
"For Estefani Lora, Third Grade, Who Made Me a Card",86.0,89.0,106,109
Monologue of the Heart Pumping Blood,90.0,91.0,110,111
Fiel,92.0,92.0,112,112
"Love,",93.0,93.0,113,113
The Photograph of Esther Ruth & {Cisco},94.0,94.0,114,114
What Faith to Be this Kind of Fish,95.0,96.0,115,116
For the Psychic at Broadway & 207th,97.0,98.0,117,118
To the Child I Met Without Knowing the Story,99.0,100.0,119,120
The Rain at Dzorwulu,101.0,102.0,121,122
Litany,103.0,104.0,123,124
Epistolary Dream Poem after Finding a Schoolbook Map,105.0,109.0,125,129
