Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Catrachos,1,1,11,11
Queerodactyl,5,5,15,15
Dia de los Muertos,6,7,16,17
Queerodactyl,8,9,18,19
Atonement in the Key of Padre,10,10,20,20
Our Lady of Suyapa,11,12,21,22
My Great-Grandmother's Egg Thief,13,14,23,24
Queerodactyl,15,15,25,25
Preparations for a Trip Home,16,18,26,28
Midwestern Skulls for the Broken Latino,19,20,29,30
The American Dream,23,24,33,34
Allapattah Branch Library,25,28,35,38
Arthur's Spelling Trubble,29,31,39,41
Marrow,32,33,42,43
Amor Eterno,34,36,44,46
In Service of Silence,37,44,47,54
Marrow,45,45,55,55
When a Person Says Go Back to Your Country,46,46,56,56
Restored Mural for Orlando,49,51,59,61
Queerodactyl,52,52,62,62
Quinceaflera,53,53,63,63
Queerodactyl,54,54,64,64
After the Tempest,55,55,65,65
Finding Logic in a Crushed Head,56,57,66,67
Jurisdiction,58,58,68,68
Those Seventy-Two Bodies Belong to Us,59,60,69,70
Queerodactyl,61,62,71,72
Self-Portrait According to George W. Bush,65,76,75,86
Marero,79,81,89,91
Marrow,82,85,92,95
Payday Loan Phenomenology,86,90,96,100
Queerodactyl,91,91,101,101
