Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
SONG OF THE OKTAHUTCHEE,,,79,80
FLOWERS,,,81,81
WHEN LOVE IS DEAD,,,82,82
TO A DAFFODIL,,,83,83
MY FANCY,,,84,84
TO A ROBIN,,,85,85
THEDEW AND THE BIRD,,,86,86
HUSSE LOTKA ENHOTULLE,,,87,87
BOB WHITE,,,88,89
BROOK SONG,,,90,90
ON PINEY,,,91,91
IN TULLEDEGA,,,92,92
TO WAHILLA ENHOTULLE,,,93,94
ON VIEWING THE SKULL AND BONES OF A WOLF,,,95,95
WHENCE,,,96,96
SPRING IN TULWA THLOCCO,,,97,97
ON THE CAPTURE AND IMPRISON-MENT OF CRAZY SNAKE,,,98,98
SHELTER,,,99,99
TO THE INDIAN MEADOW LARK,,,100,100
NIGHTFALL,,,101,101
ASSURED,,,102,102
TRYSTING IN CLOVER,,,103,104
TO A MORNING WARBLER,,,105,105
TO MY WIFE,,,106,106
THE IDLE BREEZE,,,107,107
COME,,,108,109
MY HERMITAGE,,,110,111
SEASHELLS,,,112,112
A VISION OF JUNE,,,113,113
THE HOMESTEAD OF EMPIRE,,,114,115
JULY,,,116,116
GONE,,,117,117
EVENTIDE,,,118,119
A RHAPSODY,,,120,120
TO THE CROW,,,121,121
THE CALL OF THE WILD,,,122,122
EYES OF BLUE AND BROWN,,,123,124
TWILIGHT,,,125,125
THE RURAL MAID,,,126,126
THE EVENING STAR,,,127,127
THE BLUE JAY,,,128,128
WHEN MOLLY BLOWS THE DINNER-HORN,,,129,129
THE FLOWER OF TULLEDEGA,,,130,132
COYOTE,,,133,133
THE MOCKING BIRD,,,134,135
ON A MARBLE MEDALLION OF DANTE,,,136,136
VERSES WRITTEN AT THE GRAVE OF MCINTOSH,,,137,138
THE LEGEND OF THE RED ROSE,,,141,141
WHAT I ASK OF LIFE,,,142,142
AUTUMN,,,143,143
TO THE CENTURY PLANT,,,144,144
THE SUNSHINE OF LIFE,,,145,145
TO A SNOWFLAKE,,,146,146
RED MAN'S PLEDGE OF PEACE,,,147,147
TO A COMMON FLOWER,,,148,148
TWO CLOUDS,,,149,149
TO A SEA SHELL,,,150,150
IN VAIN,,,151,151
MEMORIES,,,152,152
ON THE HILLS OF DAWN,,,153,153
A VISION OF REST,,,154,154
ENSAPAHUTCHE,,,155,156
AT THE SIRENS' CALL,,,157,157
KATE AND LOU,,,158,158
NATURE'S BLESSINGS,,,159,159
TO THE SUMMER CLOUD,,,160,160
HOTGUN ON THE DEATH OF YADEKA HARJO,,,161,161
LOWENA,,,162,162
DRIFTING APART,,,163,163
"""TIS SWEET",,,164,164
EARTH'S LILIES AND GOD'S,,,165,165
"TO YAHOLA, ON HIS FIRST BIRTH-DAY",,,166,166
"TO OUR BABY, LAUGHING",,,167,167
THE DEER,,,168,168
THE ATHLETE AND THE PHILOSO-PHER,,,169,169
WHERE THE RIVERS MEET,,,170,170
A REVERIE,,,171,171
IN THE MOONLIT WOOD,,,172,172
LIFE'S MYSTERY,,,173,173
MOTHER AND BABY,,,174,174
INGERSOLL,,,175,175
WHAT MY SOUL WOULD BE,,,176,176
AN OUTCAST,,,177,177
SUNSET,,,178,178
THE HAUNTED VALLEY,,,179,179
A VISION,,,180,180
MORNING,,,181,181
THE OPEN SKY,,,182,182
THE POET'S SONG,,,183,183
MIDSUMMER,,,184,184
A SIMILE,,,185,185
JUNE,,,186,186
A VALENTINE,,,187,187
MOUNT SHASTA,,,188,188
PITY,,,191,191
FRAIL BEAUTY,,,192,192
TO A HUMMINGBIRD,,,193,193
MEANINGLESS,,,194,195
A GLIMPSE OF SPRING,,,196,196
MOTHER'S SONG,,,197,197
ODE TO SEQUOYAH,,,198,199
POHALTON LAKE,,,200,201
HAPPY TIMES FOR ME AN' SAL,,,202,203
DEATH OF A WINDOW PLANT,,,204,206
