Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Blue Horses Rush In,,,17,18
The Weekend Is Over,,,19,20
Just Past Shiprock,,,21,22
In 1864,,,23,26
They Were Alone in the Winter,,,27,27
They Are Silent and Quick,,,29,30
It Was a Special Treat,,,31,32
It Has Always Been This Way,,,33,34
Sháá Áko Dahjiníłeh/Remember the Things They Told Us,,,35,36
Leda and the Cowboy,,,37,38
These Long Drives,,,39,41
Hills Brothers Coffee,,,43,44
One Dog Story,,,45,48
Díť'óódí,,,49,51
It Is a Simple Story,,,53,54
She Says,,,55,55
Raisin Eyes,,,57,58
How She Was Given Her Name,,,59,59
If Shiyázhí Could Speak,,,61,63
Light a Candle,,,65,66
What Danger We Court,,,67,68
The Pacific Dawn,,,69,70
It Is Night in Oklahoma,,,71,72
Outside a Small House,,,73,74
Shúúh Ahdéé,,,75,77
A Whispered Chant of Loneliness,,,79,80
Little Pet Stories,,,81,81
The Motion of Songs Rising,,,83,84
Uncle's Journey,,,85,92
The Snakeman,,,93,99
What I Am,,,101,108
