Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Direction,5,6,19,20
Lines for Marking Time,7,7,21,21
Midnight on Front Street,8,8,22,22
Underground Water,9,10,23,24
Currents,11,12,25,26
Leap in the Dark,13,15,27,29
"In the Longhouse, Oneida Museum",16,17,30,31
Elegy for Jim White,18,19,32,33
"Nett Lake, Minnesota",20,21,34,35
A Nation Wrapped in Stone,25,25,39,39
Reaching Yellow River,26,28,40,42
Overcast Dawn,29,29,43,43
"Beginning the Year at Rosebud, S.D.",30,30,44,44
Winter Burn,31,32,45,46
Midwinter Stars,33,34,47,48
Horses in Snow,35,36,49,50
Song for Facing Winter,37,38,51,52
The White Land,39,39,53,53
l'uni Kwi Athi? Hiatho.,40,40,54,54
The Recognition,43,43,57,57
Steps,44,45,58,59
An Old Man's Round for Geese,46,46,60,60
Blue Mountain,47,47,61,61
The Old Woman in a Shoo,48,48,62,62
Falling Moon,49,50,63,64
Scraps Worthy of Wind,51,52,65,66
Seal at Stinson Beach,53,53,67,67
"For Heather, Entering Kindergarten",54,54,68,68
Variations for Two Voices,55,56,69,70
Minor Invasions,57,57,71,71
"Love, the Final Healer",58,60,72,74
Music for Two Guitars,63,63,77,77
A Song for What Never Arrives,64,64,78,78
"Reaching New Town, N.D.",65,65,79,79
Dream of Rebirth,66,66,80,80
Patterns,67,68,81,82
Climbing Gannett,69,70,83,84
Made of Mist,71,71,85,85
Mother,72,73,86,87
Woman Seed Player,74,75,88,89
Lynn Point Trail,76,77,90,91
