Title,Page Number (start),Page Number (end),File Name (start),File Name (end)
Love and Heartbreak Are Fuck Buddies,3,3,19,19
The Cree Word for a Body Like Mine Is Weesageechak,4,4,20,20
Gay Incantations,5,5,21,21
Notes from a Public Washroom,6,6,22,22
There Is a Dirt Road in Me,7,7,23,23
"Wihtikowak Means ""Men Who Can't Survive Love""",8,8,24,24
The Rez Sisters 11,9,9,25,25
Six Theses on Why Native People Die,10,10,26,26
Sacred,11,11,27,27
A History of the Present,12,12,28,28
We Were Never Meant to Break Like This,13,13,29,29
I Am Hoping to Help This City Heal from Its Trauma,14,15,30,31
Heartbreak Is a White Kid,17,17,33,33
"If I Have a Body, Let It Be a Book of Sad Poems",18,18,34,34
Grief after Grief after Grief after Grief,19,19,35,35
The Creator Is Trans,20,20,36,36
The Back Alley of the World,21,21,37,37
Native Too,22,22,38,38
Colonialism: A Love Story,23,23,39,39
God's River,24,25,40,41
Love and Other Experiments,27,27,43,43
OkCupid,28,29,44,45
Towards a Theory of Decolonization,30,30,46,46
An Elegy for Flesh,31,31,47,47
Everyone Is Lonely,32,32,48,48
There Is No Beautiful Left,33,33,49,49
Boyfriend Poems,34,34,50,50
God Must Be an Indian,35,35,51,51
Sexual History,36,36,52,52
Time contra Time,37,37,53,53
Something Like Love,38,38,54,54
Ode to Northern Alberta,39,39,55,55
The Oxford Journal,41,43,57,59
"If Our Bodies Could Rust, We Would Be Falling Apart",44,45,60,61
The Rubble of Heartbreak,47,47,63,63
Wapekeka,48,48,64,64
Ode to Native Men,49,49,65,65
"To Speak of the Dead, I Must Begin with the Photon",50,51,66,67
Hermeneutics of the Sometimes/Somewhere,52,52,68,68
Love Is a Moontime Teaching,53,53,69,69
